Nothing(0)
	damage: 0
	effect_record_id: 0
	effects_count: 0
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Nothing<0>
	duration: 0
	ritual: 0
	raw_argument: 0
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 0

Minor Area Shock(1)
	damage: 1
	effect_record_id: 1
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Capped Damage {#dt_cap}<109>
	duration: 0
	ritual: 0
	raw_argument: 1
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 2176
		Armor Negating {#armornegating}
		Shock {#shock}

Major Area Shock(2)
	damage: 2
	effect_record_id: 2
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Damage {#dt_normal}<2>
	duration: 0
	ritual: 0
	raw_argument: 2
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 2176
		Armor Negating {#armornegating}
		Shock {#shock}

Large Area Heat Shock(3)
	damage: 2010
	effect_record_id: 3
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Fatigue  {#dt_stun}<3>
	duration: 0
	ritual: 0
	raw_argument: 2010
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 6
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 160
		Armor Negating {#armornegating}
		Heat/Fire {#fire}

Mark(4)
	damage: 261
	effect_record_id: 4
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Horror Mark (Type I)<600>
	duration: 0
	ritual: 0
	raw_argument: 261
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 147456
		Ignores Shields {#ignoreshield}
		No Effect on Mindless {#mind}

Thunder Shock(5)
	damage: 2
	effect_record_id: 5
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Damage {#dt_normal}<2>
	duration: 0
	ritual: 0
	raw_argument: 2
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 6
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 2176
		Armor Negating {#armornegating}
		Shock {#shock}

rain stone(6)
	damage: 5
	effect_record_id: 6
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	<Unknown Attribute><720>: 1
	effect:Capped Damage {#dt_cap}<109>
	duration: 0
	ritual: 0
	raw_argument: 5
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 549757911040
		Bludgeoning Damage {#blunt}
		Hard to Hit Ethereal {not #magic}

Minor Fear(7)
	damage: 2
	effect_record_id: 7
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Cause Fear (Type I)<4>
	duration: 0
	ritual: 0
	raw_argument: 2
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 128
		Armor Negating {#armornegating}

Area Weak Poison(8)
	damage: 1004
	effect_record_id: 8
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Poison (Mortal) {#dt_poison}<7>
	duration: 0
	ritual: 0
	raw_argument: 1004
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 8320
		Poison {#poison}
		Armor Negating {#armornegating}

Minor Chill Stun(9)
	damage: 2010
	effect_record_id: 9
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Fatigue  {#dt_stun}<3>
	duration: 0
	ritual: 0
	raw_argument: 2010
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 640
		Chill/Cold {#cold}
		Armor Negating {#armornegating}

Army of Zombies(10)
	damage: -2
	effect_record_id: 10
	effects_count: 2010
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Summon<1>
	duration: 0
	ritual: 0
	raw_argument: -2
	range_base: 15
	range_per_level: 1
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 8388608
		May Use Underwater {#uwok}

Area Decay(11)
	damage: 256
	effect_record_id: 11
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Special Attack<11>
	duration: 0
	ritual: 0
	raw_argument: 256
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 4224
		Magic Resistance Negates {#mrnegates}
		Armor Negating {#armornegating}

Court of Flame Childs(12)
	damage: 640
	effect_record_id: 12
	effects_count: 15
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Summon<1>
	duration: 0
	ritual: 1
	raw_argument: 640
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 0

Area Rust(13)
	damage: 2199023255552
	effect_record_id: 13
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Special Attack<11>
	duration: 0
	ritual: 0
	raw_argument: 2199023255552
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 8405120
		Armor Negating {#armornegating}
		Ignores Shields {#ignoreshield}
		May Use Underwater {#uwok}

Returning(14)
	damage: 1
	effect_record_id: 14
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Return Home<15>
	duration: 0
	ritual: 0
	raw_argument: 1
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 12599424
		Armor Negating {#armornegating}
		Ignores Shields {#ignoreshield}
		May Use Underwater {#uwok}
		Affects Friendlies Only {#enemyimmune}

Area Paralyze(15)
	damage: 10
	effect_record_id: 15
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Paralyze {#dt_paralyze}<66>
	duration: 0
	ritual: 0
	raw_argument: 10
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 1
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 537002112
		Armor Negating {#armornegating}
		No effect on Lifeless {#inanimateimmune}
		No Effect on Mindless {#mind}

Court of Undines(16)
	damage: 360
	effect_record_id: 16
	effects_count: 15
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Summon<1>
	duration: 0
	ritual: 1
	raw_argument: 360
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 0

Summon Longdeads(17)
	damage: -2
	effect_record_id: 17
	effects_count: 5
	fatiguecost: 0
	gemcost: 0
	next_spell: 0
	path1: -1
	path2: -1
	pathlevel1: 0
	pathlevel2: 0
	precision: 0
	researchlevel: 1
	school: -1
	effect:Summon<1>
	duration: 0
	ritual: 1
	raw_argument: -2
	range_base: 0
	range_per_level: 0
	range_strength_divisor: 0
	area_base: 0
	area_per_level: 0
	area_battlefield_pct: 0
	modifiers_mask: 0

Summon Devil(18)
	damage: 304
	effect_record_id: 18
	effects_count: 1
	fatiguecost: 0
	gemcost: 0
